Drug1,Drug2,Cell line,CSS1,CSS2,CSS,S_HSA,S_Bliss,S_Loewe,S_ZIP,S_sum,S_max,S_mean,classs,c_sy,c_ana,c_ad
GELDANAMYCIN,TOPOTECAN,ZR751,34.0206,33.4997,33.76015,7.602646519,3.068504662,6.478877911,11.94710886,7.04325,17.05315,20.4017,additive,,,ad
GELDANAMYCIN,TOPOTECAN,VCAP,11.4897,16.7948,14.14225,4.18806993,3.584056212,1.174821257,0.644610604,8.89735,9.38885,11.5198,additive,,,ad
GELDANAMYCIN,TOPOTECAN,UWB1289BRCA1,31.888,26.8387,29.36335,7.647796856,6.345700189,5.129469892,6.666401206,13.92105,17.85345,21.6422,additive,,,ad
GELDANAMYCIN,TOPOTECAN,UWB1289,42.2557,39.2494,40.75255,6.644777565,8.147570143,2.799332566,6.280062911,16.53575,18.73165,28.64415,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,UACC62,36.3276,33.5302,34.9289,5.976980854,2.234450565,4.010591707,2.818121314,10.2316,18.8329,22.58025,additive,,,ad
GELDANAMYCIN,TOPOTECAN,T47D,25.2688,23.6623,24.46555,7.075682191,10.43051179,0.264703923,6.047514164,13.97205,14.05765,19.2188,additive,,,ad
GELDANAMYCIN,TOPOTECAN,SW837,30.0978,32.5743,31.33605,7.251382444,3.621979705,5.059311562,1.24179124,10.12745,20.05525,20.73175,additive,,,ad
GELDANAMYCIN,TOPOTECAN,SW620,44.6114,44.2699,44.44065,5.788203346,4.002429978,2.995309277,3.203629367,13.00555,28.48495,28.7231,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,SKOV3,36.3098,35.2801,35.79495,14.44509123,9.793501168,12.39983001,10.23429031,19.58025,27.66665,27.6876,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,SKMES1,32.4204,40.3891,36.40475,8.108897986,4.745787191,5.504510468,5.027566484,13.59445,22.68395,24.9996,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,RPMI7951,37.8801,44.7958,41.33795,11.62834818,8.788396285,9.200917016,9.018897217,11.93455,24.99645,26.63625,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,RKO,36.8273,26.9672,31.89725,6.295793036,2.937052118,3.730709528,3.23438742,13.27355,20.94435,22.5854,additive,,,ad
GELDANAMYCIN,TOPOTECAN,PA1,40.1259,45.8693,42.9976,1.40576203,3.284912564,#N/A,3.685696285,16.7005,17.3403,29.84905,#N/A,,,
GELDANAMYCIN,TOPOTECAN,OVCAR3,37.2255,29.7787,33.5021,9.459602464,7.09964868,4.901515573,6.437046252,19.2138,24.3406,26.35795,additive,,,ad
GELDANAMYCIN,TOPOTECAN,OV90,39.2325,36.3968,37.81465,3.090253204,-0.478819555,0.839323862,-1.111869187,7.02235,20.47245,22.4185,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,OCUBM,38.6597,39.5937,39.1267,4.778798247,7.329073657,-1.908945636,6.187749946,16.2839,18.4642,27.7053,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,NCIH520,32.1558,32.7347,32.44525,4.169373367,0.796737101,2.229480729,-1.848419578,7.45745,18.16335,19.95135,additive,,,ad
GELDANAMYCIN,TOPOTECAN,NCIH460,38.4223,40.6109,39.5166,6.486781235,3.789120472,4.084297606,3.996442061,15.0745,24.2107,27.29555,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,NCIH23,39.0661,40.3418,39.70395,2.775962837,0.010829086,0.044844924,0.052907295,5.58445,20.63625,22.6442,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,NCIH2122,36.4633,41.4594,38.96135,2.578006053,0.114526512,0.343266149,0.548327219,2.90895,20.61465,20.93515,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,NCIH1650,30.8479,31.4605,31.1542,3.238204497,0.909920907,0.658671506,0.332595634,11.0161,16.7458,21.08515,additive,,,ad
GELDANAMYCIN,TOPOTECAN,MSTO,40.8431,36.2026,38.52285,6.621140219,4.466391168,3.431978411,4.666533852,17.43155,23.91185,27.9772,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,MDAMB436,32.9759,28.5836,30.77975,1.477771094,-0.119377304,-1.774035654,1.760898731,8.96995,14.25085,19.87485,additive,,,ad
GELDANAMYCIN,TOPOTECAN,LOVO,30.4067,28.476,29.44135,0.394615015,0.259048288,-2.357024748,0.569749473,12.34695,14.77245,20.89415,additive,,,ad
GELDANAMYCIN,TOPOTECAN,LNCAP,28.4793,28.2926,28.38595,1.458521325,-2.838461034,-0.706518725,-4.135577662,5.24245,16.74695,16.8142,additive,,,ad
GELDANAMYCIN,TOPOTECAN,KPL1,22.8421,25.543,24.19255,3.501893387,1.078182801,2.617018405,-4.410665203,6.78835,12.65675,15.49045,additive,,,ad
GELDANAMYCIN,TOPOTECAN,HT29,43.8212,44.4776,44.1494,2.837238617,0.512391432,0.014962733,0.519450735,4.4854,20.6662,24.3174,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,HT144,26.0348,29.7811,27.90795,5.274315527,2.371210992,3.194541376,1.34458136,5.87285,15.09645,16.8904,additive,,,ad
GELDANAMYCIN,TOPOTECAN,HCT116,31.6357,26.6193,29.1275,6.843366512,5.346045839,4.569487271,5.647812895,14.0205,20.9111,21.574,additive,,,ad
GELDANAMYCIN,TOPOTECAN,ES2,39.3681,38.292,38.83005,3.212824719,3.082409658,-2.730939778,5.164040413,20.78005,21.89255,29.80505,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,EFM192B,29.9217,30.0129,29.9673,-1.055616485,-3.63943582,-3.866216516,-2.892920771,7.2563,17.6738,18.6118,additive,,,ad
GELDANAMYCIN,TOPOTECAN,DLD1,36.5478,34.6198,35.5838,6.014636998,3.111638313,3.343825767,12.27493872,16.1485,23.0268,25.86615,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,COLO320DM,22.3831,14.9137,18.6484,2.785257682,5.172597175,-8.893335356,3.116714473,9.2704,9.2704,13.9594,additive,,,ad
GELDANAMYCIN,TOPOTECAN,CAOV3,44.0777,39.4508,41.76425,7.12827239,5.346160847,4.778739553,8.42881731,15.57305,22.91365,28.66865,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,A427,39.7924,39.4924,39.6424,6.968518666,3.665347497,5.078089538,3.711946348,13.3318,21.9212,26.4871,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,A375,34.2786,34.9359,34.60725,-3.115666089,-4.576879919,-5.695275467,-2.291570288,13.31515,19.40395,23.9612,additive,,,ad
GELDANAMYCIN,TOPOTECAN,A2780,42.6887,43.7938,43.24125,7.29428178,5.227825947,4.461477225,6.049311137,7.91375,23.93905,25.5775,additive,,,not_ad
GELDANAMYCIN,TOPOTECAN,A2058,44.4595,43.9904,44.22495,9.155864707,6.287028332,6.709157639,4.071813894,13.06455,28.37195,28.64475,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,ZR751,33.1882,36.3552,34.7717,4.553534467,1.521628764,1.633140495,1.012235635,14.7357,18.0647,24.7537,additive,,,ad
GELDANAMYCIN,SORAFENIB,UWB1289BRCA1,31.1545,30.9657,31.0601,0.223908124,-0.407348943,-2.910919147,-0.967965854,19.0232,22.9556,25.04165,additive,,,ad
GELDANAMYCIN,SORAFENIB,UWB1289,34.3183,34.7576,34.53795,14.67000053,15.33634645,12.74525976,12.01886,25.15895,27.35485,29.84845,Synerg,sy,,
GELDANAMYCIN,SORAFENIB,UACC62,41.0362,43.6785,42.35735,12.87322059,9.419009508,9.074345691,8.744498489,29.21235,33.75605,35.78485,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,T47D,21.1655,15.8689,18.5172,7.702427604,9.188868541,6.212531129,6.373184484,13.6842,13.7698,16.1007,additive,,,ad
GELDANAMYCIN,SORAFENIB,SKOV3,37.0686,39.1523,38.11045,12.26212227,9.026982577,8.734048316,9.785597571,27.10045,29.98215,32.60545,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,SKMEL30,28.7136,27.7213,28.21745,10.86871636,9.546794396,9.022572355,7.366021459,17.70445,21.79155,22.96095,additive,,,ad
GELDANAMYCIN,SORAFENIB,RPMI7951,33.8252,39.4216,36.6234,12.678764,8.74185319,8.604794807,8.677513963,19.0633,23.5615,27.84335,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,RKO,36.1172,37.3785,36.74785,12.17743324,8.734129493,7.472714158,8.40345059,25.34215,29.07705,31.045,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,PA1,35.6877,30.3432,33.01545,4.810035818,5.725645266,2.960622772,3.092029738,23.20515,23.84495,28.1103,additive,,,ad
GELDANAMYCIN,SORAFENIB,OVCAR3,11.6136,6.488,9.0508,-0.439795147,-2.710922632,-3.689061498,-0.137409912,2.2629,3.924,5.65685,additive,,,ad
GELDANAMYCIN,SORAFENIB,OV90,39.2129,41.9853,40.5991,6.166056673,3.162849715,1.898636165,2.466315856,18.6148,23.2569,29.60695,additive,,,not_ad
GELDANAMYCIN,SORAFENIB,OCUBM,32.4766,28.3061,30.39135,8.562438233,8.069886241,5.996610491,8.343222212,20.85495,23.03525,25.62315,additive,,,ad
GELDANAMYCIN,SORAFENIB,NCIH520,29.6506,25.6527,27.65165,6.419276696,3.397581548,2.707765459,2.993576754,11.46285,16.94575,19.55725,additive,,,ad
GELDANAMYCIN,SORAFENIB,NCIH460,41.9315,42.0833,42.0074,13.1042695,9.43300676,8.989939922,9.018317898,28.1946,32.8712,35.101,additive,,,not_ad
